G,Date,Start (ET),,,,Opponent,Outcome,,DenverNuggets,Opp,Margin,W,L,Streak,Notes
1,Wed Oct 17 2018,10:30p,,Box Score,@,Los Angeles Clippers,W,,107,98,9,1,0,W 1,
2,Sat Oct 20 2018,9:00p,,Box Score,,Phoenix Suns,W,,119,91,28,2,0,W 2,
3,Sun Oct 21 2018,8:00p,,Box Score,,Golden State Warriors,W,,100,98,2,3,0,W 3,
4,Tue Oct 23 2018,9:00p,,Box Score,,Sacramento Kings,W,,126,112,14,4,0,W 4,
5,Thu Oct 25 2018,10:30p,,Box Score,@,Los Angeles Lakers,L,,114,121,-7,4,1,L 1,
6,Mon Oct 29 2018,9:00p,,Box Score,,New Orleans Pelicans,W,,116,111,5,5,1,W 1,
7,Wed Oct 31 2018,8:00p,,Box Score,@,Chicago Bulls,W,OT,108,107,1,6,1,W 2,
8,Thu Nov 1 2018,7:00p,,Box Score,@,Cleveland Cavaliers,W,,110,91,19,7,1,W 3,
9,Sat Nov 3 2018,9:00p,,Box Score,,Utah Jazz,W,,103,88,15,8,1,W 4,
10,Mon Nov 5 2018,9:00p,,Box Score,,Boston Celtics,W,,115,107,8,9,1,W 5,
11,Wed Nov 7 2018,8:00p,,Box Score,@,Memphis Grizzlies,L,,87,89,-2,9,2,L 1,
12,Fri Nov 9 2018,9:00p,,Box Score,,Brooklyn Nets,L,,110,112,-2,9,3,L 2,
13,Sun Nov 11 2018,8:00p,,Box Score,,Milwaukee Bucks,L,,114,121,-7,9,4,L 3,
14,Tue Nov 13 2018,9:00p,,Box Score,,Houston Rockets,L,,99,109,-10,9,5,L 4,
15,Thu Nov 15 2018,9:00p,,Box Score,,Atlanta Hawks,W,,138,93,45,10,5,W 1,
16,Sat Nov 17 2018,7:00p,,Box Score,@,New Orleans Pelicans,L,,115,125,-10,10,6,L 1,
17,Mon Nov 19 2018,8:00p,,Box Score,@,Milwaukee Bucks,L,,98,104,-6,10,7,L 2,
18,Wed Nov 21 2018,8:00p,,Box Score,@,Minnesota Timberwolves,W,,103,101,2,11,7,W 1,
19,Fri Nov 23 2018,9:00p,,Box Score,,Orlando Magic,W,,112,87,25,12,7,W 2,
20,Sat Nov 24 2018,8:00p,,Box Score,@,Oklahoma City Thunder,W,,105,98,7,13,7,W 3,
21,Tue Nov 27 2018,9:00p,,Box Score,,Los Angeles Lakers,W,,117,85,32,14,7,W 4,
